MetricID,Page,Group,Metric,Classification,RealSource,Formula,Unit,TimeWindow,OrgScoped,Joins,DrillDownSource,AttributionDependency,Status,Category(A/B/C/D),PlausibleExternalSource,DuplicateOf,Notes,StatusNorm,CategoryNorm
MAIN-0011,Main Hub,Month-end pace,Target status (No Target/Insufficient Data/Ahead/On Pace/Behind/At Risk),STATUS,"src/lib/kpi-targets.ts computeTargetProgress() (lines 260-376); target sourced from rep_kpi_targets table via fetchRepKpiTargets(orgId,'closer') (src/lib/rep-kpi-targets.ts:39-51), filtered to metricKey='cash_collected_cents', period='monthly', summed across active closer targets (dashboard.tsx:1354-1364)",Deterministic rules: status='no_target' if no target row exists; 'ahead' if attainment>=1 (period complete) or relativeToExpected>=0.05; 'on_pace' if attainment>=0.9 or relativeToExpected>=-0.1; 'at_risk' if requiredDailyPace > 2x normal target daily rate; else 'behind'. Full logic kpi-targets.ts:329-361,status enum (6 values); given unit=% is wrong,"current calendar month (periodWindow anchored to today, independent of page date-range filter)","yes - rep_kpi_targets query .eq('org_id', orgId) rep-kpi-targets.ts:45",rep_kpi_targets (sum of active closer 'cash_collected_cents'/'monthly' rows) vs monthCash actual,"Team -> KPI Targets page (referenced in empty-state copy, dashboard.tsx:2825)",n/a,LIVE,A,n/a,none,"Pure, well-tested calculation module (header states 'no Supabase imports here on purpose'). Honestly renders 'No monthly Cash Collected target configured' when no target row exists rather than fabricating a status.",LIVE,A
MAIN-0012,Main Hub,Executive KPI row,Total Cash Collected,RAW,same as MAIN-0004: dashboard.tsx c.cash rendered at line 1968,= Cash Collected (MAIN-0004),$,selected date range,yes,payments + calls + setter_activity,none direct,n/a,LIVE,A,n/a,MAIN-0004 (exact duplicate: same value rendered twice on the page - Cash hero and this KpiCard row),"Comment at dashboard.tsx:1955-1963 claims 'Cash Collected/Total Revenue aren't repeated as plain KpiCards here' - contradicted by the code, which DOES render both. Confirmed literal duplicate.",LIVE,A
MAIN-0013,Main Hub,Executive KPI row,Total Revenue Generated,RAW,same as MAIN-0005: dashboard.tsx c.contractValue rendered at line 1974,= Revenue Generated (MAIN-0005),$ (given unit=% is wrong),selected date range,yes,calls,none direct,n/a,LIVE,A,n/a,MAIN-0005 (exact duplicate),Same duplicate pattern as MAIN-0012.,LIVE,A
MAIN-0014,Main Hub,Executive KPI row,MRR — Low Ticket,OTHER,"dashboard.tsx lines 1978-1983: hardcoded string, no query","value=""Not tracked"" literal string; supporting text: ""Requires a client-level recurring-revenue field this schema doesn't have yet.""",n/a,n/a,n/a,none,none,n/a,NOT AVAILABLE,D,no evidence of intended source,none,Explicitly and honestly hardcoded as unavailable: no MRR/recurring-revenue field exists anywhere in the clients schema. Cleanest example in the file of the app's 'never fabricate' discipline: it could have shown a fake number but shows 'Not tracked' instead.,NOT AVAILABLE,D
MAIN-0015,Main Hub,Executive KPI row,Low Ticket Active,RAW,"dashboard.tsx activeTierCounts query lines 523-550: supabase.from('clients').select('id, leads(ticket_tier)').eq('org_id', orgId).eq('status','active')",count of active clients whose linked leads.ticket_tier === 'low',count,none/point-in-time (deliberately NOT scoped to page date range; comment at dashboard.tsx:519-522 explains 'Active' is a current-state snapshot),"yes - .eq('org_id', orgId) dashboard.tsx:541",clients joined to leads (via leads(ticket_tier) embedded select),/payments (onClick navigates there),n/a,LIVE,A,n/a,none,Deliberately date-range-independent by design (documented rationale in code comment).,LIVE,A
MAIN-0016,Main Hub,Executive KPI row,High Ticket Active,RAW,same query as MAIN-0015,count of active clients whose linked leads.ticket_tier === 'high',count,none/point-in-time,yes,clients joined to leads,/payments,n/a,LIVE,A,n/a,none,Same source query as MAIN-0015 (single query produces low/high/unclassified/total).,LIVE,A
MAIN-0017,Main Hub,Company KPIs,New Leads,RAW,dashboard.tsx fetchPeriod() line 426: c.newLeads = leadList.length,count of leads rows matching filters,count,selected date range,"yes - leads query .eq('org_id', orgId) dashboard.tsx:317",leads,"funnel diagnostic 'Leads' stage drilldown (funnelPanel, dashboard.tsx:1633-1640)",n/a,LIVE,A,n/a,MAIN-0064/MAIN-0065 funnel diagnostic 'Leads' stage uses the same curr.newLeads value,none,LIVE,A
MAIN-0018,Main Hub,Company KPIs,Total Views,RAW,dashboard.tsx fetchPeriod() line 432: contentList.reduce(...views),sum of content_metrics.views for the period (only when no platform/source filter active; contentList is empty otherwise per line 399-400),count,selected date range,"yes - content_metrics query .eq('org_id', orgId) dashboard.tsx:331",content_metrics,none direct,n/a,LIVE,A,n/a,MAIN-0064 funnel diagnostic 'Views' stage,"Silently returns 0 when Social Platform or Acquisition Source filter is active (content_metrics has no platform/source columns to filter by) - not indicated to the user in the UI, an honest-data-but-confusing-UX edge case worth flagging.",LIVE,A
MAIN-0019,Main Hub,Paid Ad Performance,Ad Cash Collected,RAW,"dashboard.tsx adAttributed query lines 587-625: calls (closed=true) joined to leads.traffic_source_id joined to traffic_sources.category, filtered to category IN ('Meta Ads','Google')",sum of cash_collected_cents for closed calls whose lead's traffic_source category is Meta Ads or Google,$,selected date range,"yes - all 3 queries .eq('org_id', orgId) (dashboard.tsx:598,602,603)",calls joined to leads joined to traffic_sources,none direct,"last-touch-like (uses lead's single traffic_source_id, not a multi-touch model)",PARTIALLY CONNECTED,A,"Meta Ads / Google Ads (traffic_sources.category values already exist in schema, but the ad-platform connector/webhook that populates traffic_source_id per lead is not evidenced in src/routes/api/public/*)",MAIN-0020 shares the same query/join,"Renders 'Not tracked' (adAttributed.hasData===false) when no lead has a traffic_source_id set: honest empty state, not a fake number. Comment at dashboard.tsx:576-586 confirms this is deliberately narrower than Total Cash Collected.",PARTIALLY CONNECTED,A
MAIN-0020,Main Hub,Paid Ad Performance,Ad Total Revenue,RAW,same query as MAIN-0019 (dashboard.tsx:587-625),sum of contract_value_cents for the same paid-attributed closed calls,$,selected date range,yes,calls joined to leads joined to traffic_sources,none direct,last-touch-like,PARTIALLY CONNECTED,A,Meta Ads / Google Ads,MAIN-0019,Same caveats as MAIN-0019.,PARTIALLY CONNECTED,A
MAIN-0021,Main Hub,Paid Ad Performance,Ad Spend,RAW,"dashboard.tsx adSpend query lines 558-574: supabase.from('acquisition_spend').select('spend_amount_cents').eq('org_id', orgId).gte/lte(spend_date, range)",sum of acquisition_spend.spend_amount_cents in range,$,selected date range,yes,acquisition_spend,none direct,n/a,PARTIALLY CONNECTED,B,"Meta Ads Manager / Google Ads (acquisition_spend is the same real table Webinar Analytics reads per-webinar; no webhook/connector route under src/routes/api/public/* was found feeding it, so spend appears to be manually entered)",none,"Renders 'Not tracked' when no rows exist (adSpend.hasData===false): honest, not fabricated. Schema exists and is queried for real; whether spend is entered manually or via an integration wasn't confirmed - no ad-platform connector route found in src/routes/api/public/*.",PARTIALLY CONNECTED,B
MAIN-0022,Main Hub,Paid Ad Performance,ROAS,DERIVED,dashboard.tsx lines 2092-2114,"(adAttributed.revenueCents / adSpend.spendCents), rendered e.g. '2.35x'; only computed when both adSpend.hasData and adAttributed.hasData and both >0, else 'Not tracked'",ratio rendered as 'x' (given unit=% is wrong),selected date range,"yes (inherits from MAIN-0020 and MAIN-0021, both org-scoped)",calls joined to leads joined to traffic_sources + acquisition_spend,none direct,last-touch-like (via Ad Total Revenue),PARTIALLY CONNECTED,A/B (depends on whether spend feed is connected),Meta Ads / Google Ads,MAIN-0019/MAIN-0020/MAIN-0021 (composed from all three),"Given unit=% is wrong: rendered as a multiplier ('x'), not a percentage.",PARTIALLY CONNECTED,A
MAIN-0023,Main Hub,Traffic → VSL,VSL Page Visits,RAW,"src/components/hub-operating-metrics.tsx query lines 593-598: supabase.from('vsl_metric_snapshots').select(...).eq('org_id', orgId), summed at line 156",sum of vsl_metric_snapshots.page_loads,count,"selected date range (via useDateRange, independent query from main dashboard)","yes - .eq('org_id', orgId) hub-operating-metrics.tsx:596",vsl_metric_snapshots,none direct (no drilldown UI wired for this KpiBand item),n/a,PARTIALLY CONNECTED,B,"Wistia / VSL hosting platform (vsl_metric_snapshots is a real, queried table but no connector/webhook route under src/routes/api/public/* was found populating it - likely requires the un-built VSL analytics integration)",none,Query and aggregation are real; whether this table is actually populated by any integration in this org was not verifiable from code alone. Empty-state text ('No VSL page visits logged in this range') is honest.,PARTIALLY CONNECTED,B
MAIN-0024,Main Hub,Traffic → VSL,VSL Plays,RAW,hub-operating-metrics.tsx line 157: plays = sum of total_plays,sum of vsl_metric_snapshots.total_plays,count,selected date range,yes,vsl_metric_snapshots,none direct,n/a,PARTIALLY CONNECTED,B,Wistia / VSL hosting platform,none,Same table/caveats as MAIN-0023.,PARTIALLY CONNECTED,B
MAIN-0025,Main Hub,Traffic → VSL,Unique Viewers,RAW,hub-operating-metrics.tsx line 158: viewers = sum of unique_viewers,sum of vsl_metric_snapshots.unique_viewers,count,selected date range,yes,vsl_metric_snapshots,none direct,n/a,PARTIALLY CONNECTED,B,Wistia / VSL hosting platform,none,Same table/caveats as MAIN-0023.,PARTIALLY CONNECTED,B
MAIN-0026,Main Hub,Traffic → VSL,Engagement Rate,AGGREGATED,hub-operating-metrics.tsx lines 159-162,"average of vsl_metric_snapshots.avg_percent_watched across rows with a nonzero value (arithmetic mean of an already-averaged per-row percentage, not a count ratio)",%,selected date range,yes,vsl_metric_snapshots,none direct,n/a,PARTIALLY CONNECTED,B,Wistia / VSL hosting platform,none,"Code comment (hub-operating-metrics.tsx:221-225) explicitly notes this is an average of a per-row percentage, deliberately not forced into the day-bucketed ratio shape used for other rates, to avoid misrepresenting it.",PARTIALLY CONNECTED,B
MAIN-0027,Main Hub,Traffic → VSL,Play Rate,DERIVED,hub-operating-metrics.tsx rateCharts 'playrate' (lines 736-745),"ratePct(plays,visits) = (VSL Plays / VSL Page Visits) * 100",%,selected date range,yes (inherits from MAIN-0023/24),vsl_metric_snapshots,none direct,n/a,PARTIALLY CONNECTED,B,Wistia / VSL hosting platform,MAIN-0033 (identical chart object rendered again under Operating Rates -> Marketing efficiency),Exact duplicate render of the same computed chart (hub-operating-metrics.tsx:442-443 includes 'playrate' key in the marketing-efficiency subset of OperatingRatesPipeline).,PARTIALLY CONNECTED,B
MAIN-0028,Main Hub,Applications,Applications Submitted,RAW,hub-operating-metrics.tsx: appRows = leadRows.filter(isCompleteApp) (line 657); isCompleteApp() at lines 120-123 checks leads.application_data is a non-empty object,count of leads whose application_data JSON has at least one key,count,selected date range,"yes - leads query .eq('org_id', orgId) hub-operating-metrics.tsx:602",leads,none direct,n/a,LIVE,A,n/a,MAIN-0039 ('New inbound leads' in Rep Efficiency card reuses this exact same totals.apps count under a different label),"IMPORTANT: totals.apps (this metric) is reused verbatim as 'New inbound leads' in the Rep Efficiency & Inbound Velocity card (InboundVelocityCard, hub-operating-metrics.tsx:236: inboundLeads = totals.apps). Same number, two different labels/sections on the same page - likely to confuse a reader into thinking they are different populations.",LIVE,A
MAIN-0029,Main Hub,Applications,Completion Rate,AGGREGATED,hub-operating-metrics.tsx appCompleteness() lines 125-131 and aggregate() line 164-166,"average of appCompleteness(lead) across all apps, where appCompleteness = min(1, (count of APP_FIELDS with non-empty value in application_data) / 13); APP_FIELDS is a fixed list of 13 expected Typeform question keys (lines 51-65)",%,selected date range,yes,leads,none direct,n/a,LIVE,A,n/a,none,"Formula ported verbatim from a deleted module per code comment (lines 48-50, 209-213: Part 6 deleted the old flat HubMetrics bands, restored here). Depends on APP_FIELDS key names actually matching the real Typeform field mapping - not independently verified in this pass.",LIVE,A
MAIN-0030,Main Hub,Applications,Application Quality,AGGREGATED,hub-operating-metrics.tsx appQuality() lines 133-140,"average of appQuality(lead) across apps; appQuality = intent_score-derived 1-5 score if leads.intent_score>0 (scaled /20 if >5), else a 1-4 score from (answered fields/13)*3 + 1, +1 bonus if leads.priority==='diamond', rendered e.g. '3.2/5'",score 1-5 (given unit=count is wrong),selected date range,yes,leads,none direct,n/a,LIVE,A,n/a,none,"Given unit=count is wrong: it's a 1-5 composite score, not a count. Formula is a heuristic blend of intent_score/answered-field-count/priority-flag, not a single canonical field.",LIVE,A
MAIN-0031,Main Hub,Applications,Pre-call Vids Watched,RAW,hub-operating-metrics.tsx line 168: leads.filter(l=>l.precall_video_watched).length,count of leads rows in range with precall_video_watched=true,count,selected date range,yes,leads,none direct,n/a,LIVE,A,n/a,none,Straightforward boolean-column count.,LIVE,A
MAIN-0032,Main Hub,Applications,Application → Booked Call Rate,DERIVED,hub-operating-metrics.tsx rateItem('appbooked') using rateCharts 'appbooked' (lines 746-754),"ratePct(booked,apps) = (calls booked in range / Applications Submitted) * 100",%,selected date range,yes,leads (apps) + calls (booked),none direct,n/a,LIVE,A,n/a,MAIN-0034 (identical chart rendered again under Operating Rates as 'App -> Booked'),Exact duplicate of MAIN-0034: same rateCharts entry (key 'appbooked') rendered in both the Applications band and the Operating Rates pipeline.,LIVE,A
MAIN-0033,Main Hub,Operating Rates,Play Rate,DERIVED,hub-operating-metrics.tsx OperatingRatesPipeline marketing filter includes key 'playrate' (line 443),= Play Rate (MAIN-0027),%,selected date range,yes,vsl_metric_snapshots,none direct,n/a,PARTIALLY CONNECTED,B,Wistia / VSL hosting platform,MAIN-0027 (exact duplicate),See MAIN-0027 notes.,PARTIALLY CONNECTED,B
MAIN-0034,Main Hub,Operating Rates,App → Booked,DERIVED,hub-operating-metrics.tsx OperatingRatesPipeline marketing filter includes key 'appbooked' (line 443),= Application → Booked Call Rate (MAIN-0032),% (given unit=count is wrong; RateProgress renders currentPct.toFixed(1)+'%' at line 417),selected date range,yes,leads + calls,none direct,n/a,LIVE,A,n/a,MAIN-0032 (exact duplicate),"Given unit=count is wrong; given type=RAW is also wrong (it's the same DERIVED ratio as MAIN-0032, just relabeled).",LIVE,A
MAIN-0035,Main Hub,Operating Rates,Qualified Convo Rate,DERIVED,hub-operating-metrics.tsx rateCharts 'qualrate' (lines 764-772),"ratePct(qualified,contacted) = (sum setter_activity.qualified_convos / sum setter_activity.leads_contacted) * 100",%,selected date range,"yes - setter_activity query .eq('org_id', orgId) hub-operating-metrics.tsx:590",setter_activity,none direct,n/a,LIVE,A,n/a,none,Straightforward ratio of two setter_activity columns.,LIVE,A
MAIN-0036,Main Hub,Operating Rates,Pick-up Rate,DERIVED,hub-operating-metrics.tsx rateCharts 'pickuprate' (lines 755-763),"ratePct(connections,dials) = (sum setter_activity.connections / sum setter_activity.dials) * 100",%,selected date range,yes,setter_activity,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
MAIN-0037,Main Hub,Operating Rates,Show Rate,DERIVED,hub-operating-metrics.tsx rateCharts 'showrate' (lines 773-781),"ratePct(showed,booked) = (calls.showed=true count / calls booked count) * 100",%,selected date range,"yes - calls query .eq('org_id', orgId) hub-operating-metrics.tsx:607",calls,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
MAIN-0038,Main Hub,Operating Rates,Close Rate (on show),DERIVED,hub-operating-metrics.tsx rateCharts 'closerate' (lines 782-790),"ratePct(closed,showed) = (calls.closed=true count / calls.showed=true count) * 100",%,selected date range,yes,calls,none direct,n/a,LIVE,A,n/a,none,"Labeled '(on show)' meaning denominator is Showed, not Booked - matches code (closed/showed, not closed/booked).",LIVE,A
MAIN-0039,Main Hub,Rep Efficiency & Inbound Velocity,New inbound leads,RAW,hub-operating-metrics.tsx InboundVelocityCard line 236: inboundLeads = totals.apps,= totals.apps (same value as Applications Submitted MAIN-0028),count,selected date range,yes,leads,none direct,n/a,LIVE,A,n/a,MAIN-0028 (exact duplicate value under a different label),"See MAIN-0028 Notes: this is the same number relabeled, not an independent 'new inbound leads' figure. Likely to mislead a reader comparing the two sections.",LIVE,A
MAIN-0040,Main Hub,Rep Efficiency & Inbound Velocity,Qualified convos,RAW,hub-operating-metrics.tsx InboundVelocityCard line 237: qualified = totals.qualified,sum of setter_activity.qualified_convos,count,selected date range,yes,setter_activity,none direct,n/a,LIVE,A,n/a,same underlying sum as the numerator of MAIN-0035 Qualified Convo Rate,none,LIVE,A
MAIN-0041,Main Hub,Rep Efficiency & Inbound Velocity,Links sent,RAW,hub-operating-metrics.tsx InboundVelocityCard line 238: links = totals.linksSent,sum of setter_activity.links_sent,count,selected date range,yes,setter_activity,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
MAIN-0042,Main Hub,Rep Efficiency & Inbound Velocity,Avg first response time,OTHER,"hub-operating-metrics.tsx lines 242-243, inside velocityRows array literal","HARDCODED: { label: 'Avg first response time', value: '< 4 mins', pct: 82 } - a literal string and literal number, not computed from any query result or column",n/a (fake unit - claims minutes),n/a - static,no,none,none,n/a,PLACEHOLDER,D,"no evidence of intended source (no speed-to-lead timestamp columns referenced here at all; a separate real speed-to-lead.ts module exists elsewhere in the app for the Inbound Dialer flow, but this card does not call it)",none,"CONFIRMED FABRICATED METRIC: this literally hardcodes '< 4 mins' and pct: 82 in the component source - it never varies regardless of real data. This LOOKS like a real live KPI card with a progress bar, identical visual treatment to the real Convo-to-link sent rate and Daily inbound volume pace rows right next to it, making it the most deceptive fabricated number found in this domain.",PLACEHOLDER,D
MAIN-0043,Main Hub,Rep Efficiency & Inbound Velocity,Convo-to-link sent rate,DERIVED,hub-operating-metrics.tsx InboundVelocityCard line 240: linkRate = qualified>0 ? (links/qualified)*100 : 0,(Links sent / Qualified convos) * 100,%,selected date range,yes (inherits setter_activity org scope),setter_activity,none direct,n/a,LIVE,A,n/a,none,"Real ratio of two real setter_activity sums (MAIN-0040/MAIN-0041), rendered with the same progress-bar visual as the fabricated MAIN-0042 next to it.",LIVE,A
MAIN-0044,Main Hub,Rep Efficiency & Inbound Velocity,Daily inbound volume pace,DERIVED,hub-operating-metrics.tsx InboundVelocityCard line 241: volumePace = series.length>0 ? inboundLeads/series.length : 0,totals.apps / number of days in the daily series (i.e. average apps/day over the selected range),count per day (given unit=% is wrong),selected date range,yes,leads,none direct,n/a,LIVE,A,n/a,inherits duplicate concern from MAIN-0039/MAIN-0028 (uses the same totals.apps numerator),"Given unit=% is wrong: rendered as e.g. '3.2 leads/day', a rate-per-day not a percentage.",LIVE,A
MAIN-0045,Main Hub,Rep Efficiency & Inbound Velocity,Top inbound setter,OTHER,"hub-operating-metrics.tsx InboundVelocityCard prop topSetter (lines 230-234, 381-393 render block), but the ONLY call site (HubOperatingMetrics render at line 996) invokes <InboundVelocityCard totals={t} series={inboundSeries} /> with NO topSetter prop passed","the render block is gated on {topSetter && (...)}; since topSetter is always undefined at the one call site, this block never renders",n/a,n/a,no query exists for this,none,none,n/a,NOT AVAILABLE,C,no evidence of intended source,none,"CONFIRMED DEAD CODE: the component supports a 'Top inbound setter' display but it is never wired up - no query anywhere computes a top-setter-by-links-sent figure, and the one place that could pass the prop doesn't. This UI element is effectively invisible to every user today, despite existing in the source.",NOT AVAILABLE,C
MAIN-0046,Main Hub,Client Momentum,Active Clients,RAW,hub-operating-metrics.tsx line 667: clientRows.filter(c=>c.status==='active').length,count of clients rows where status='active',count,none/point-in-time (query has no date filter; hub-operating-metrics.tsx:617 fetches all clients for the org),"yes - .eq('org_id', orgId) hub-operating-metrics.tsx:617",clients,"MetricDetailPanel client roster (hub-operating-metrics.tsx:998-1030, real row-level clients table)",n/a,LIVE,A,n/a,"near-dup of ADMI-0800 Active Mentees (same clients.status='active' count, different page)",Has a real drilldown to the actual client roster (not just a number).,LIVE,A
MAIN-0047,Main Hub,Client Momentum,Client Health,AGGREGATED,hub-operating-metrics.tsx lines 668-671: avg of clients.health_score for rows with health_score>0,"average of clients.health_score across active-query result set (all clients, not just active)",score (unitless 0-100),none/point-in-time,yes,clients,MetricDetailPanel (sorted by health ascending),n/a,PARTIALLY CONNECTED,C (schema exists but the underlying column is inert),n/a,none,"IMPORTANT FINDING: src/lib/client-risk.ts:1-11 explicitly documents that clients.health_score is a 'dead DB column - default 100 at creation, never computed or written by any app code, no edit UI anywhere' and that the app's OWN risk logic (clientAtRiskReason) deliberately stopped reading it for exactly this reason. This Main Hub tile still reads that same dead column and presents an average as if it were a live health signal. The query and math are real (mechanically LIVE), but the underlying data is effectively a constant/never-updated default for any client that hasn't had this field hand-edited via direct DB access - status downgraded to PARTIALLY CONNECTED to reflect that the number is real-but-meaningless in practice.",PARTIALLY CONNECTED,C
MAIN-0048,Main Hub,Client Momentum,Daily W Logs,RAW,hub-operating-metrics.tsx totals.wins = wins.length (line 198); wins query lines 611-616,count of daily_wins rows in range,count,selected date range,"yes - .eq('org_id', orgId) hub-operating-metrics.tsx:614",daily_wins,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
MAIN-0049,Main Hub,Client Momentum,Financial Wins,RAW,hub-operating-metrics.tsx line 174: wins.filter(w=>(w.win_types??[]).includes('financial')).length,count of daily_wins rows whose win_types array includes 'financial',count,selected date range,yes,daily_wins,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
MAIN-0050,Main Hub,Client Momentum,Student Cash Logged,RAW,hub-operating-metrics.tsx line 175: winCash = wins.reduce(...financial_amount_cents),sum of daily_wins.financial_amount_cents,$,selected date range,yes,daily_wins,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
MAIN-0051,Main Hub,Client Momentum,Avg Energy,AGGREGATED,hub-operating-metrics.tsx lines 176-179: avg of daily_wins.energy_score for rows>0,average of daily_wins.energy_score across win rows in range,score 1-10 (given unit=% is wrong),selected date range,yes,daily_wins,none direct,n/a,LIVE,A,n/a,none,Given unit=% is wrong: rendered as e.g. '7.4/10'.,LIVE,A
