MetricID,Page,Group,Metric,OriginalStatus,FinalStatus,ChangeType,Phase,Note
MAIN-0030,Main Hub,Applications,Application Quality,LIVE,LIVE,unchanged,,
MAIN-0031,Main Hub,Applications,Pre-call Vids Watched,LIVE,LIVE,unchanged,,
MAIN-0032,Main Hub,Applications,Application → Booked Call Rate,LIVE,LIVE,unchanged,,
MAIN-0033,Main Hub,Operating Rates,Play Rate,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
MAIN-0034,Main Hub,Operating Rates,App → Booked,LIVE,LIVE,unchanged,,
MAIN-0035,Main Hub,Operating Rates,Qualified Convo Rate,LIVE,LIVE,unchanged,,
MAIN-0036,Main Hub,Operating Rates,Pick-up Rate,LIVE,LIVE,unchanged,,
MAIN-0037,Main Hub,Operating Rates,Show Rate,LIVE,LIVE,unchanged,,
MAIN-0038,Main Hub,Operating Rates,Close Rate (on show),LIVE,LIVE,unchanged,,
MAIN-0039,Main Hub,Rep Efficiency & Inbound Velocity,New inbound leads,LIVE,LIVE,unchanged,,
MAIN-0040,Main Hub,Rep Efficiency & Inbound Velocity,Qualified convos,LIVE,LIVE,unchanged,,
MAIN-0041,Main Hub,Rep Efficiency & Inbound Velocity,Links sent,LIVE,LIVE,unchanged,,
MAIN-0042,Main Hub,Rep Efficiency & Inbound Velocity,Avg first response time,PLACEHOLDER,PLACEHOLDER,unchanged,,
MAIN-0043,Main Hub,Rep Efficiency & Inbound Velocity,Convo-to-link sent rate,LIVE,LIVE,unchanged,,
MAIN-0044,Main Hub,Rep Efficiency & Inbound Velocity,Daily inbound volume pace,LIVE,LIVE,unchanged,,
MAIN-0045,Main Hub,Rep Efficiency & Inbound Velocity,Top inbound setter,NOT AVAILABLE,LIVE,status-changed,Phase 1/2/2b,
MAIN-0046,Main Hub,Client Momentum,Active Clients,LIVE,LIVE,unchanged,,
MAIN-0047,Main Hub,Client Momentum,Client Health,PARTIALLY CONNECTED,LIVE,status-changed,Phase 1/2/2b,
MAIN-0048,Main Hub,Client Momentum,Daily W Logs,LIVE,LIVE,unchanged,,
MAIN-0049,Main Hub,Client Momentum,Financial Wins,LIVE,LIVE,unchanged,,
MAIN-0050,Main Hub,Client Momentum,Student Cash Logged,LIVE,LIVE,unchanged,,
MAIN-0051,Main Hub,Client Momentum,Avg Energy,LIVE,LIVE,unchanged,,
MAIN-0052,Main Hub,Content attribution (Level 3),Revenue by Source (by platform),LIVE,LIVE,unchanged,,
MAIN-0053,Main Hub,Content attribution (Level 3),confidence,LIVE,LIVE,unchanged,,
MAIN-0054,Main Hub,Content attribution (Level 3),closes,LIVE,LIVE,unchanged,,
MAIN-0055,Main Hub,Content attribution (Level 3),rev,LIVE,LIVE,unchanged,,
MAIN-0056,Main Hub,Content attribution (Level 3),cash,LIVE,LIVE,unchanged,,
MAIN-0057,Main Hub,Content attribution (Level 3),Content table — Views,LIVE,LIVE,unchanged,,
MAIN-0058,Main Hub,Content attribution (Level 3),Leads,LIVE,LIVE,unchanged,,
MAIN-0059,Main Hub,Content attribution (Level 3),Booked,LIVE,LIVE,unchanged,,
MAIN-0060,Main Hub,Content attribution (Level 3),Shows,LIVE,LIVE,unchanged,,
MAIN-0061,Main Hub,Content attribution (Level 3),Closes,LIVE,LIVE,unchanged,,
MAIN-0062,Main Hub,Content attribution (Level 3),Cash,LIVE,LIVE,unchanged,,
MAIN-0063,Main Hub,Content attribution (Level 3),Revenue,LIVE,LIVE,unchanged,,
MAIN-0064,Main Hub,Funnel diagnostic (Level 4),Views,LIVE,LIVE,unchanged,,
MAIN-0065,Main Hub,Funnel diagnostic (Level 4),Leads,LIVE,LIVE,unchanged,,
MAIN-0066,Main Hub,Funnel diagnostic (Level 4),Booked,LIVE,LIVE,unchanged,,
MAIN-0067,Main Hub,Funnel diagnostic (Level 4),Showed,LIVE,LIVE,unchanged,,
MAIN-0068,Main Hub,Funnel diagnostic (Level 4),Offers,LIVE,LIVE,unchanged,,
MAIN-0069,Main Hub,Funnel diagnostic (Level 4),Disqualified,LIVE,LIVE,unchanged,,
MAIN-0070,Main Hub,Funnel diagnostic (Level 4),Closed,LIVE,LIVE,unchanged,,
MAIN-0071,Main Hub,Funnel diagnostic (Level 4),Largest funnel leak,LIVE,LIVE,unchanged,,
MAIN-0072,Main Hub,Executive insights,at-risk/behind-pace flags,LIVE,LIVE,unchanged,,
MAIN-0073,Main Hub,Team efficiency,Top closers (Closes),LIVE,LIVE,unchanged,,
MAIN-0074,Main Hub,Team efficiency,Cash Collected,LIVE,LIVE,unchanged,,
MAIN-0075,Main Hub,Team efficiency,Revenue Generated,LIVE,LIVE,unchanged,,
MAIN-0076,Main Hub,Team efficiency,Top setters (Sets),LIVE,LIVE,unchanged,,
MAIN-0077,Main Hub,Team efficiency,Cash Collected,LIVE,LIVE,unchanged,,
MAIN-0078,Main Hub,Team efficiency,Revenue Generated,LIVE,LIVE,unchanged,,
ADMI-0798,Admin → Home,Admin,Cash Collected,LIVE,LIVE,unchanged,,
ADMI-0799,Admin → Home,Admin,Closes,LIVE,LIVE,unchanged,,
ADMI-0800,Admin → Home,Admin,Active Mentees,LIVE,LIVE,unchanged,,
ADMI-0801,Admin → Home,Admin,overdue-installment/renewal-risk alerts,LIVE,LIVE,unchanged,,
ADMI-0802,Admin → Home,Admin,Calls Today,LIVE,LIVE,unchanged,,
ADMI-0803,Admin → Home,Admin,Hiring Needs Grading,LIVE,LIVE,unchanged,,
ADMI-0804,Admin → Home,Admin,Hiring Interview-Worthy,LIVE,LIVE,unchanged,,
ADMI-0805,Admin → Home,Admin,at-risk renewals,LIVE,LIVE,unchanged,,
ADMI-0806,Admin → Home,Closer,Calls on Calendar,LIVE,LIVE,unchanged,,
ADMI-0807,Admin → Home,Closer,no-show/awaiting-payment alerts,LIVE,LIVE,unchanged,,
ADMI-0808,Admin → Home,Closer,Booked,LIVE,LIVE,unchanged,,
ADMI-0809,Admin → Home,Closer,Showed,LIVE,LIVE,unchanged,,
ADMI-0810,Admin → Home,Closer,Offers,LIVE,LIVE,unchanged,,
ADMI-0811,Admin → Home,Closer,Closes,LIVE,LIVE,unchanged,,
ADMI-0812,Admin → Home,Closer,Cash,LIVE,LIVE,unchanged,,
ADMI-0813,Admin → Home,Manager,Calls Booked,LIVE,LIVE,unchanged,,
ADMI-0814,Admin → Home,Manager,Showed,LIVE,LIVE,unchanged,,
ADMI-0815,Admin → Home,Manager,Offers,LIVE,LIVE,unchanged,,
ADMI-0816,Admin → Home,Manager,Closes,LIVE,LIVE,unchanged,,
ADMI-0817,Admin → Home,Manager,Cash Collected,LIVE,LIVE,unchanged,,
ADMI-0818,Admin → Home,Manager,Closer Performance table,LIVE,LIVE,unchanged,,
ADMI-0819,Admin → Home,DM Setter,DMs Sent,LIVE,LIVE,unchanged,,
ADMI-0820,Admin → Home,DM Setter,Replies,LIVE,LIVE,unchanged,,
ADMI-0821,Admin → Home,DM Setter,Qualified,LIVE,LIVE,unchanged,,
ADMI-0822,Admin → Home,DM Setter,Sets,LIVE,LIVE,unchanged,,
ADMI-0823,Admin → Home,DM Setter,Booked,LIVE,LIVE,unchanged,,
ADMI-0824,Admin → Home,Inbound Dialer,Dials,LIVE,LIVE,unchanged,,
ADMI-0825,Admin → Home,Inbound Dialer,Connections,LIVE,LIVE,unchanged,,
ADMI-0826,Admin → Home,Inbound Dialer,Qualified,LIVE,LIVE,unchanged,,
ADMI-0827,Admin → Home,Inbound Dialer,Booked,LIVE,LIVE,unchanged,,
ADMI-0828,Admin → Home,Inbound Dialer,SLA breaches,LIVE,LIVE,unchanged,,
ADMI-0829,Admin → Home,Inbound Dialer,callbacks,LIVE,LIVE,unchanged,,
ADMI-0830,Admin → Home,Growth,Leads Generated,LIVE,LIVE,unchanged,,
ADMI-0831,Admin → Home,Growth,Paid Leads,LIVE,LIVE,unchanged,,
ADMI-0832,Admin → Home,Growth,Organic Leads,LIVE,LIVE,unchanged,,
ADMI-0833,Admin → Home,Growth,high-reach/no-lead content flags,LIVE,LIVE,unchanged,,
ADMI-0834,Admin → Home,Growth,tracked webinars,LIVE,LIVE,unchanged,,
SALE-0079,Sales Tracking → Leads,Hero pills,Total leads,LIVE,LIVE,unchanged,,
SALE-0080,Sales Tracking → Leads,Hero pills,Diamond,LIVE,LIVE,unchanged,,
SALE-0081,Sales Tracking → Leads,Hero pills,Awaiting show,LIVE,LIVE,unchanged,,
SALE-0082,Sales Tracking → Leads,Pipeline chart,Leads by Pipeline Stage,LIVE,LIVE,unchanged,,
SALE-0083,Sales Tracking → Leads,Stat row,Total leads,LIVE,LIVE,unchanged,,
SALE-0084,Sales Tracking → Leads,Stat row,Available to call,LIVE,LIVE,unchanged,,
SALE-0085,Sales Tracking → Leads,Stat row,Call booked,LIVE,LIVE,unchanged,,
SALE-0086,Sales Tracking → Leads,Stat row,Closed,LIVE,LIVE,unchanged,,
SALE-0087,Sales Tracking → Leads,Stat row,Diamond leads,LIVE,LIVE,unchanged,,
SALE-0088,Sales Tracking → Leads,Lead AI Insights,Bottlenecks,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
SALE-0089,Sales Tracking → Leads,Lead AI Insights,Double down,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
SALE-0090,Sales Tracking → Leads,Lead AI Insights,Priority leads,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
SALE-0091,Sales Tracking → Leads,Table columns,Date/Time,LIVE,LIVE,unchanged,,
SALE-0092,Sales Tracking → Leads,Table columns,Diamond flag,LIVE,LIVE,unchanged,,
SALE-0093,Sales Tracking → Leads,Table columns,Name,LIVE,LIVE,unchanged,,
SALE-0094,Sales Tracking → Leads,Table columns,Stage,LIVE,LIVE,unchanged,,
SALE-0095,Sales Tracking → Leads,Table columns,Lead Status,LIVE,LIVE,unchanged,,
SALE-0096,Sales Tracking → Leads,Table columns,Pre-call vid,LIVE,LIVE,unchanged,,
SALE-0097,Sales Tracking → Leads,Table columns,Qualification,LIVE,LIVE,unchanged,,
SALE-0098,Sales Tracking → Leads,Table columns,Experience,LIVE,LIVE,unchanged,,
SALE-0099,Sales Tracking → Leads,Table columns,Work/School,LIVE,LIVE,unchanged,,
SALE-0100,Sales Tracking → Leads,Table columns,Focus,LIVE,LIVE,unchanged,,
SALE-0101,Sales Tracking → Leads,Table columns,Goal,LIVE,LIVE,unchanged,,
SALE-0102,Sales Tracking → Leads,Table columns,Candidate Fit,LIVE,LIVE,unchanged,,
SALE-0103,Sales Tracking → Leads,Table columns,Serious,LIVE,LIVE,unchanged,,
SALE-0104,Sales Tracking → Leads,Table columns,Time,LIVE,LIVE,unchanged,,
SALE-0105,Sales Tracking → Leads,Table columns,Income,LIVE,LIVE,unchanged,,
SALE-0106,Sales Tracking → Leads,Table columns,Capital,LIVE,LIVE,unchanged,,
SALE-0107,Sales Tracking → Leads,Table columns,Credit,LIVE,LIVE,unchanged,,
SALE-0108,Sales Tracking → Leads,Table columns,Commit,LIVE,LIVE,unchanged,,
SALE-0109,Sales Tracking → Leads,Table columns,Email,LIVE,LIVE,unchanged,,
SALE-0110,Sales Tracking → Leads,Table columns,Setter,LIVE,LIVE,unchanged,,
SALE-0111,Sales Tracking → Leads,Table columns,Closer,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0112,Sales Tracking → Leads,Table columns,Phone,LIVE,LIVE,unchanged,,
SALE-0113,Sales Tracking → Leads,Table columns,Handle,LIVE,LIVE,unchanged,,
SALE-0114,Sales Tracking → Leads,Lead detail,Stage,LIVE,LIVE,unchanged,,
SALE-0115,Sales Tracking → Leads,Lead detail,Source,LIVE,LIVE,unchanged,,
SALE-0116,Sales Tracking → Leads,Lead detail,Assigned setter,LIVE,LIVE,unchanged,,
SALE-0117,Sales Tracking → Leads,Lead detail,Assigned closer,LIVE,LIVE,unchanged,,
SALE-0118,Sales Tracking → Leads,Lead detail,Lead age,LIVE,LIVE,unchanged,,
SALE-0119,Sales Tracking → Leads,Lead detail,Calls on record,LIVE,LIVE,unchanged,,
SALE-0120,Sales Tracking → Leads,Lead detail,Availability,LIVE,LIVE,unchanged,,
SALE-0121,Sales Tracking → Leads,Lead detail,Content touches,LIVE,LIVE,unchanged,,
SALE-0122,Sales Tracking → Leads,Lead detail,Conversations,LIVE,LIVE,unchanged,,
SALE-0123,Sales Tracking → Leads,Lead detail,Content path,LIVE,LIVE,unchanged,,
SALE-0124,Sales Tracking → Leads,Lead detail,Calls,LIVE,LIVE,unchanged,,
SALE-0125,Sales Tracking → EOD Reports,DM Setter EOD fields,Inbound DMs Sent,LIVE,LIVE,unchanged,,
SALE-0126,Sales Tracking → EOD Reports,DM Setter EOD fields,Outbound DMs Sent,LIVE,LIVE,unchanged,,
SALE-0127,Sales Tracking → EOD Reports,DM Setter EOD fields,Replies,LIVE,LIVE,unchanged,,
SALE-0128,Sales Tracking → EOD Reports,DM Setter EOD fields,Leads Contacted,LIVE,LIVE,unchanged,,
SALE-0129,Sales Tracking → EOD Reports,DM Setter EOD fields,Qualified Convos,LIVE,LIVE,unchanged,,
SALE-0130,Sales Tracking → EOD Reports,DM Setter EOD fields,Follow-ups,LIVE,LIVE,unchanged,,
SALE-0131,Sales Tracking → EOD Reports,DM Setter EOD fields,VSL Page Links Sent,LIVE,LIVE,unchanged,,
SALE-0132,Sales Tracking → EOD Reports,DM Setter EOD fields,VSL Page Links Clicked,LIVE,LIVE,unchanged,,
SALE-0133,Sales Tracking → EOD Reports,DM Setter EOD fields,Sets,LIVE,LIVE,unchanged,,
SALE-0134,Sales Tracking → EOD Reports,DM Setter EOD fields,Calls On Calendar,LIVE,LIVE,unchanged,,
SALE-0135,Sales Tracking → EOD Reports,DM Setter EOD fields,Live Calls,LIVE,LIVE,unchanged,,
SALE-0136,Sales Tracking → EOD Reports,DM Setter EOD fields,Closes,LIVE,LIVE,unchanged,,
SALE-0137,Sales Tracking → EOD Reports,DM Setter EOD fields,Downsells,LIVE,LIVE,unchanged,,
SALE-0138,Sales Tracking → EOD Reports,DM Setter EOD fields,Cash Collected,LIVE,LIVE,unchanged,,
SALE-0139,Sales Tracking → EOD Reports,DM Setter EOD fields,Total Revenue,LIVE,LIVE,unchanged,,
SALE-0140,Sales Tracking → EOD Reports,DM Setter EOD fields,Rate Today,LIVE,LIVE,unchanged,,
SALE-0141,Sales Tracking → EOD Reports,DM Setter EOD fields,Objections,LIVE,LIVE,unchanged,,
SALE-0142,Sales Tracking → EOD Reports,Dialer EOD fields,Dials,LIVE,LIVE,unchanged,,
SALE-0143,Sales Tracking → EOD Reports,Dialer EOD fields,Connections,LIVE,LIVE,unchanged,,
SALE-0144,Sales Tracking → EOD Reports,Dialer EOD fields,Qualified Convos,LIVE,LIVE,unchanged,,
SALE-0145,Sales Tracking → EOD Reports,Dialer EOD fields,Sets,LIVE,LIVE,unchanged,,
SALE-0146,Sales Tracking → EOD Reports,Dialer EOD fields,Calls On Calendar,LIVE,LIVE,unchanged,,
SALE-0147,Sales Tracking → EOD Reports,Dialer EOD fields,Live Calls,LIVE,LIVE,unchanged,,
SALE-0148,Sales Tracking → EOD Reports,Dialer EOD fields,Closes,LIVE,LIVE,unchanged,,
SALE-0149,Sales Tracking → EOD Reports,Dialer EOD fields,Downsells,LIVE,LIVE,unchanged,,
SALE-0150,Sales Tracking → EOD Reports,Dialer EOD fields,Cash Collected,LIVE,LIVE,unchanged,,
SALE-0151,Sales Tracking → EOD Reports,Dialer EOD fields,Total Revenue,LIVE,LIVE,unchanged,,
SALE-0152,Sales Tracking → EOD Reports,Dialer EOD fields,Rate Today,LIVE,LIVE,unchanged,,
SALE-0153,Sales Tracking → EOD Reports,Dialer EOD fields,Objections,LIVE,LIVE,unchanged,,
SALE-0154,Sales Tracking → EOD Reports,Closer Post-Call fields,Lead Status,LIVE,LIVE,unchanged,,
SALE-0155,Sales Tracking → EOD Reports,Closer Post-Call fields,Cash Collected,LIVE,LIVE,unchanged,,
SALE-0156,Sales Tracking → EOD Reports,Closer Post-Call fields,Total Revenue,LIVE,LIVE,unchanged,,
SALE-0157,Sales Tracking → EOD Reports,Closer Post-Call fields,Offer,LIVE,LIVE,unchanged,,
SALE-0158,Sales Tracking → EOD Reports,Closer Post-Call fields,Call Summary,LIVE,LIVE,unchanged,,
SALE-0159,Sales Tracking → Team,Team Snapshot,Team Members,LIVE,LIVE,unchanged,,
SALE-0160,Sales Tracking → Team,Team Snapshot,Setters,LIVE,LIVE,unchanged,,
SALE-0161,Sales Tracking → Team,Team Snapshot,Dialers,LIVE,LIVE,unchanged,,
SALE-0162,Sales Tracking → Team,Team Snapshot,Closers,LIVE,LIVE,unchanged,,
SALE-0163,Sales Tracking → Team,Team Snapshot,Booked (30D),LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0164,Sales Tracking → Team,Team Snapshot,Show Rate,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0165,Sales Tracking → Team,Team Snapshot,Cash Collected (30D),LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0166,Sales Tracking → Team,Performance — leaderboards,Closes,LIVE,LIVE,unchanged,,
SALE-0167,Sales Tracking → Team,Performance — leaderboards,Cash Collected,LIVE,LIVE,unchanged,,
SALE-0168,Sales Tracking → Team,Performance — leaderboards,Sets,LIVE,LIVE,unchanged,,
SALE-0169,Sales Tracking → Team,Performance — targets,Rep KPI targets (Actual),LIVE,LIVE,unchanged,,
SALE-0170,Sales Tracking → Team,Performance — targets,Target,LIVE,LIVE,unchanged,,
SALE-0171,Sales Tracking → Team,Performance — targets,Variance,LIVE,LIVE,unchanged,,
SALE-0172,Sales Tracking → Team,Performance — targets,% to Goal,LIVE,LIVE,unchanged,,
SALE-0173,Sales Tracking → Team,Performance — targets,Status),LIVE,LIVE,unchanged,,
SALE-0174,Sales Tracking → Team,Roster,Booked,LIVE,LIVE,unchanged,,
SALE-0175,Sales Tracking → Team,Roster,Shown,LIVE,LIVE,unchanged,,
SALE-0176,Sales Tracking → Team,Roster,Closes,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0177,Sales Tracking → Team,Roster,Cash,LIVE,LIVE,unchanged,,
SALE-0178,Sales Tracking → Team,Roster,Close %,LIVE,LIVE,unchanged,,
SALE-0179,Sales Tracking → Team,Roster,Status,PLACEHOLDER,PLACEHOLDER,unchanged,,
SALE-0180,Sales Tracking → Team,Access,Pending access requests,LIVE,LIVE,unchanged,,
SALE-0181,Sales Tracking → Team,Access,Recent access changes,LIVE,LIVE,unchanged,,
SALE-0182,Sales Tracking → Team Calendars,Summary tiles,Calls Today/Week/Month/Year,LIVE,LIVE,unchanged,,
SALE-0183,Sales Tracking → Team Calendars,Summary tiles,Pre-Call Ready,LIVE,LIVE,unchanged,,
SALE-0184,Sales Tracking → Team Calendars,Summary tiles,Video Not Watched,LIVE,LIVE,unchanged,,
SALE-0185,Sales Tracking → Team Calendars,Summary tiles,Open Slots,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0186,Sales Tracking → Team Calendars,Status legend,Confirmed,LIVE,LIVE,unchanged,,
SALE-0187,Sales Tracking → Team Calendars,Status legend,Awaiting confirmation,LIVE,LIVE,unchanged,,
SALE-0188,Sales Tracking → Team Calendars,Status legend,Confirmation overdue,LIVE,LIVE,unchanged,,
SALE-0189,Sales Tracking → Team Calendars,Status legend,At risk,LIVE,LIVE,unchanged,,
SALE-0190,Sales Tracking → Team Calendars,Status legend,Cancelled,LIVE,LIVE,unchanged,,
SALE-0191,Sales Tracking → Team Calendars,Status legend,Rescheduled,LIVE,LIVE,unchanged,,
SALE-0192,Sales Tracking → Team Calendars,Pre-call sequence,Not sent,LIVE,LIVE,unchanged,,
SALE-0193,Sales Tracking → Team Calendars,Pre-call sequence,Sent no response,LIVE,LIVE,unchanged,,
SALE-0194,Sales Tracking → Team Calendars,Pre-call sequence,Responded,LIVE,LIVE,unchanged,,
SALE-0195,Sales Tracking → Hiring,Stat row,Total applicants,LIVE,LIVE,unchanged,,
SALE-0196,Sales Tracking → Hiring,Stat row,Interview/Trial,LIVE,LIVE,unchanged,,
SALE-0197,Sales Tracking → Hiring,Stat row,Hired,LIVE,LIVE,unchanged,,
SALE-0198,Sales Tracking → Hiring,Stat row,Avg AI score,LIVE,LIVE,unchanged,,
SALE-0199,Sales Tracking → Hiring,Per-role tab,{Role}s in pipeline,LIVE,LIVE,unchanged,,
SALE-0200,Sales Tracking → Hiring,Per-role tab,Hired,LIVE,LIVE,unchanged,,
SALE-0201,Sales Tracking → Hiring,Per-role tab,Avg transcript-quality score,LIVE,LIVE,unchanged,,
SALE-0202,Sales Tracking → Hiring,Kanban,Applied,LIVE,LIVE,unchanged,,
SALE-0203,Sales Tracking → Hiring,Kanban,Needs Grading,LIVE,LIVE,unchanged,,
SALE-0204,Sales Tracking → Hiring,Kanban,Interview Worthy,LIVE,LIVE,unchanged,,
SALE-0205,Sales Tracking → Hiring,Kanban,Trial Call,LIVE,LIVE,unchanged,,
SALE-0206,Sales Tracking → Hiring,Kanban,Offer Sent,LIVE,LIVE,unchanged,,
SALE-0207,Sales Tracking → Hiring,Kanban,Hired,LIVE,LIVE,unchanged,,
SALE-0208,Sales Tracking → Hiring,Kanban,Rejected,LIVE,LIVE,unchanged,,
SALE-0209,Sales Tracking → Hiring,AI evaluation,Transcript quality,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
SALE-0210,Sales Tracking → Hiring,AI evaluation,Flags,LIVE,LIVE,unchanged,,
SALE-0211,Sales Tracking → Hiring,AI evaluation,Reasoning,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
SALE-0212,Sales Tracking -> Attribution,Overview,Total Leads,LIVE,LIVE,unchanged,,
SALE-0213,Sales Tracking -> Attribution,Overview,Booked Calls,LIVE,LIVE,unchanged,,
SALE-0214,Sales Tracking -> Attribution,Overview,Shows,LIVE,LIVE,unchanged,,
SALE-0215,Sales Tracking -> Attribution,Overview,Closes,LIVE,LIVE,unchanged,,
SALE-0216,Sales Tracking -> Attribution,Overview,Revenue Generated,LIVE,LIVE,unchanged,,
SALE-0217,Sales Tracking -> Attribution,Overview,Cash Collected,LIVE,LIVE,unchanged,,
SALE-0218,Sales Tracking -> Attribution,Overview,Attributed Cash,LIVE,LIVE,unchanged,,
SALE-0219,Sales Tracking -> Attribution,Overview,Unattributed Cash,LIVE,LIVE,unchanged,,
SALE-0220,Sales Tracking -> Attribution,Overview,Organic Cash,LIVE,LIVE,unchanged,,
SALE-0221,Sales Tracking -> Attribution,Overview,Paid Cash,LIVE,LIVE,unchanged,,
SALE-0222,Sales Tracking -> Attribution,Overview,Referral Cash,LIVE,LIVE,unchanged,,
SALE-0223,Sales Tracking -> Attribution,Attribution Flow (Sankey),Cash Collected,LIVE,LIVE,unchanged,,
SALE-0224,Sales Tracking -> Attribution,Attribution Flow (Sankey),per-platform/rep/closer flow,LIVE,LIVE,unchanged,,
SALE-0225,Sales Tracking -> Attribution,Top Customer Journeys,Platform,LIVE,LIVE,unchanged,,
SALE-0226,Sales Tracking -> Attribution,Top Customer Journeys,Acquisition Source,LIVE,LIVE,unchanged,,
SALE-0227,Sales Tracking -> Attribution,Top Customer Journeys,Rep,LIVE,LIVE,unchanged,,
SALE-0228,Sales Tracking -> Attribution,Top Customer Journeys,Closer,LIVE,LIVE,unchanged,,
SALE-0229,Sales Tracking -> Attribution,Top Customer Journeys,Offer,LIVE,LIVE,unchanged,,
SALE-0230,Sales Tracking -> Attribution,Top Customer Journeys,Calls,LIVE,LIVE,unchanged,,
SALE-0231,Sales Tracking -> Attribution,Top Customer Journeys,Revenue,LIVE,LIVE,unchanged,,
SALE-0232,Sales Tracking -> Attribution,Top Customer Journeys,Cash,LIVE,LIVE,unchanged,,
SALE-0233,Sales Tracking -> Attribution,Top Customer Journeys,Collection Rate,LIVE,LIVE,unchanged,,
SALE-0234,Sales Tracking -> Attribution,Detailed Records,Content,LIVE,LIVE,unchanged,,
SALE-0235,Sales Tracking -> Attribution,Detailed Records,Platform,LIVE,LIVE,unchanged,,
SALE-0236,Sales Tracking -> Attribution,Detailed Records,Rep,LIVE,LIVE,unchanged,,
SALE-0237,Sales Tracking -> Attribution,Detailed Records,Closer,LIVE,LIVE,unchanged,,
SALE-0238,Sales Tracking -> Attribution,Detailed Records,Cash,LIVE,LIVE,unchanged,,
SALE-0239,Sales Tracking -> Attribution,Detailed Records,Coverage,LIVE,LIVE,unchanged,,
SALE-0240,Sales Tracking -> Attribution,Detailed Records,Strength,LIVE,LIVE,unchanged,,
